Age,Gender,Education,Experience,Department,Title,Performance,CityTier,CompanySize,CompanyType,TechSkill,Certs,English,Salary
53,Male,Masters,20.2,Tech,Engineer,2,Tier 1,Mid,Private,69,2,Basic,1800971.0
53,Female,Bachelors,13.6,Tech,Manager,2,Tier 3,Startup,Public,84,4,Advanced,1278403.0
25,Male,PhD,30.1,Tech,Executive,2,Tier 1,Startup,MNC,96,3,Intermediate,2635642.0
51,Male,Masters,28.8,Finance,Engineer,3,Tier 2,Mid,Private,83,4,Intermediate,2443053.0
58,Male,High School,34.6,Tech,Executive,3,Tier 3,Startup,MNC,42,2,Intermediate,2738059.0
44,Female,PhD,0.6,Support,Executive,4,Tier 3,Mid,Public,90,0,Advanced,485052.0
36,Female,PhD,30.7,Marketing,Executive,3,Tier 2,Enterprise,Public,89,1,Intermediate,2632707.0
50,Female,High School,35.7,Finance,Engineer,2,Tier 1,Startup,Private,78,3,Advanced,2738660.0
57,Female,Bachelors,30.0,Support,Lead,4,Tier 1,Enterprise,Private,92,2,Basic,2501758.0
34,Male,Bachelors,4.9,Tech,Executive,2,Tier 1,Mid,MNC,93,2,Advanced,654906.0
53,Male,Bachelors,3.1,Support,Analyst,1,Tier 2,Startup,Public,73,3,Basic,550987.0
28,Female,Bachelors,0.8,Operations,Manager,5,Tier 2,Startup,Public,90,1,Intermediate,482497.0
43,Female,Bachelors,23.9,Marketing,Manager,1,Tier 2,Mid,Private,45,0,Intermediate,1775401.0
49,Female,PhD,23.9,Marketing,Manager,2,Tier 3,Startup,Private,63,3,Intermediate,2118374.0
23,Female,Bachelors,37.5,Support,Engineer,3,Tier 3,Startup,MNC,95,0,Basic,2967219.0
27,Male,High School,15.1,HR,Analyst,5,Tier 3,Startup,Public,32,2,Advanced,1443761.0
49,Female,Masters,12.6,Marketing,Analyst,3,Tier 3,Enterprise,MNC,73,3,Advanced,1386341.0
49,Female,Bachelors,23.7,Operations,Analyst,3,Tier 1,Mid,MNC,59,0,Basic,2045530.0
41,Female,Masters,31.4,Marketing,Analyst,5,Tier 1,Mid,Private,23,4,Intermediate,2744059.0
51,Female,Bachelors,35.6,HR,Analyst,5,Tier 1,Mid,Public,72,4,Intermediate,3038608.0
32,Female,Bachelors,30.5,Marketing,Lead,1,Tier 2,Startup,Private,20,4,Advanced,2464477.0
49,Female,Bachelors,16.2,Marketing,Analyst,2,Tier 2,Startup,MNC,25,0,Intermediate,1391311.0
46,Female,Masters,24.1,HR,Analyst,3,Tier 1,Startup,MNC,74,4,Intermediate,2183485.0
54,Male,Bachelors,32.5,Marketing,Engineer,2,Tier 3,Mid,Public,85,2,Intermediate,2568506.0
22,Male,Masters,18.6,Support,Engineer,2,Tier 1,Enterprise,Public,37,0,Basic,1577308.0
48,Male,Bachelors,8.2,Finance,Analyst,4,Tier 3,Mid,Public,48,2,Basic,969770.0
34,Male,Bachelors,6.4,Support,Lead,1,Tier 1,Mid,Public,72,1,Intermediate,753211.0
24,Male,Bachelors,0.0,Marketing,Analyst,3,Tier 1,Enterprise,Private,52,0,Advanced,304009.0
27,Male,PhD,27.3,Tech,Analyst,5,Tier 1,Startup,Private,22,4,Advanced,2516776.0
29,Female,PhD,4.2,Tech,Analyst,5,Tier 1,Startup,Private,39,4,Advanced,973911.0
48,Female,Bachelors,9.3,Finance,Executive,2,Tier 1,Mid,Private,23,1,Basic,978760.0
30,Male,Bachelors,11.3,Marketing,Lead,1,Tier 2,Enterprise,MNC,27,3,Advanced,1028411.0
58,Female,Bachelors,21.3,Operations,Manager,1,Tier 1,Mid,Private,47,1,Advanced,1739010.0
54,Male,Bachelors,15.1,Marketing,Analyst,3,Tier 3,Mid,Private,85,4,Intermediate,1449170.0
45,Female,Bachelors,25.6,Tech,Manager,3,Tier 1,Enterprise,Public,92,4,Advanced,2240129.0
36,Female,PhD,2.1,HR,Lead,2,Tier 1,Enterprise,MNC,45,3,Advanced,695795.0
53,Female,PhD,4.7,Finance,Analyst,2,Tier 3,Startup,Private,53,1,Advanced,725536.0
53,Female,Bachelors,19.0,HR,Manager,2,Tier 1,Mid,MNC,90,2,Advanced,1695662.0
45,Female,Bachelors,12.8,Operations,Manager,4,Tier 2,Enterprise,MNC,68,1,Advanced,1365611.0
33,Female,Masters,11.2,Marketing,Lead,1,Tier 1,Enterprise,MNC,68,2,Advanced,1156904.0
23,Male,Masters,2.5,Operations,Analyst,2,Tier 1,Enterprise,MNC,92,4,Basic,721095.0
24,Male,High School,34.0,HR,Executive,1,Tier 1,Enterprise,Public,46,4,Advanced,2705302.0
58,Female,Bachelors,26.3,Marketing,Lead,5,Tier 2,Mid,Public,84,1,Advanced,2281925.0
38,Male,Bachelors,4.6,Support,Executive,5,Tier 1,Mid,MNC,52,4,Intermediate,862266.0
23,Female,Bachelors,2.5,Support,Analyst,1,Tier 2,Mid,MNC,91,3,Basic,520537.0
23,Male,Bachelors,37.0,Operations,Manager,5,Tier 3,Enterprise,MNC,68,0,Intermediate,2995152.0
49,Female,High School,25.9,Support,Lead,5,Tier 1,Startup,Public,82,2,Advanced,2245580.0
44,Male,Masters,15.9,Support,Lead,5,Tier 3,Enterprise,Public,51,4,Intermediate,1639759.0
58,Female,Bachelors,26.7,Tech,Lead,3,Tier 1,Mid,MNC,38,2,Intermediate,2246301.0
53,Male,High School,28.7,Support,Engineer,3,Tier 3,Mid,MNC,69,1,Intermediate,2387149.0
54,Female,Bachelors,29.6,Tech,Analyst,1,Tier 3,Mid,MNC,41,3,Advanced,2337054.0
22,Male,Masters,18.2,Finance,Engineer,1,Tier 1,Startup,MNC,86,2,Advanced,1655064.0
40,Female,Masters,16.3,Tech,Lead,4,Tier 3,Startup,Public,28,4,Basic,1601309.0
23,Female,Bachelors,0.4,Tech,Lead,3,Tier 1,Mid,Private,54,0,Intermediate,293193.0
47,Female,Bachelors,35.2,HR,Executive,1,Tier 1,Enterprise,Private,90,3,Advanced,2745695.0
53,Male,PhD,22.9,Tech,Engineer,3,Tier 2,Mid,Public,98,1,Basic,2088452.0
27,Male,Bachelors,7.7,Tech,Manager,4,Tier 3,Mid,Public,23,4,Basic,1018020.0
53,Male,Bachelors,34.9,HR,Analyst,1,Tier 3,Startup,Private,56,3,Advanced,2698895.0
25,Female,Bachelors,34.8,Tech,Manager,1,Tier 1,Startup,Private,47,4,Intermediate,2749499.0
32,Male,Bachelors,37.6,Support,Manager,1,Tier 2,Startup,Private,28,1,Basic,2864053.0
38,Female,Bachelors,33.2,Tech,Analyst,1,Tier 1,Startup,MNC,54,1,Advanced,2608681.0
59,Male,PhD,37.9,Finance,Lead,2,Tier 1,Mid,Private,44,0,Intermediate,3041277.0
45,Male,Masters,9.3,Tech,Executive,3,Tier 2,Enterprise,Private,28,3,Intermediate,1040440.0
26,Male,Bachelors,32.0,Tech,Lead,3,Tier 1,Mid,MNC,80,0,Intermediate,2590416.0
55,Male,PhD,31.3,Finance,Lead,3,Tier 1,Mid,MNC,71,0,Advanced,2720542.0
27,Female,High School,8.8,HR,Engineer,4,Tier 3,Enterprise,Public,36,0,Intermediate,877620.0
43,Male,Bachelors,3.7,Support,Manager,2,Tier 2,Mid,MNC,95,2,Intermediate,606332.0
32,Male,Bachelors,37.2,Tech,Manager,3,Tier 3,Enterprise,Private,28,1,Intermediate,2932952.0
37,Female,Masters,11.2,Support,Manager,3,Tier 1,Startup,MNC,73,0,Intermediate,1214130.0
54,Female,High School,33.1,Operations,Executive,1,Tier 3,Startup,Public,24,2,Advanced,2517623.0
30,Male,Bachelors,0.2,Support,Executive,1,Tier 1,Startup,Private,82,2,Advanced,260588.0
27,Male,Masters,0.8,HR,Executive,1,Tier 2,Enterprise,Public,66,2,Advanced,340067.0
37,Female,Masters,17.7,HR,Analyst,3,Tier 2,Mid,Public,38,0,Intermediate,1632476.0
50,Female,Masters,9.1,Tech,Executive,1,Tier 3,Startup,Public,85,2,Basic,932801.0
24,Female,Bachelors,26.2,Finance,Engineer,3,Tier 1,Startup,MNC,64,0,Advanced,2188301.0
41,Male,High School,21.5,HR,Engineer,4,Tier 1,Mid,MNC,90,3,Basic,1964394.0
57,Male,Bachelors,2.9,Finance,Lead,4,Tier 2,Startup,Public,92,1,Intermediate,565211.0
40,Male,Bachelors,6.2,Operations,Lead,5,Tier 1,Startup,Public,52,4,Intermediate,965168.0
47,Female,PhD,14.7,Finance,Lead,2,Tier 2,Enterprise,Public,99,0,Advanced,1447060.0
24,Female,Bachelors,7.1,Marketing,Lead,1,Tier 1,Mid,Public,62,1,Advanced,769655.0
40,Female,Bachelors,30.1,Finance,Engineer,1,Tier 1,Enterprise,MNC,91,0,Intermediate,2335069.0
41,Male,Masters,15.8,HR,Lead,2,Tier 1,Startup,MNC,45,3,Advanced,1551760.0
53,Female,Bachelors,3.6,Finance,Engineer,2,Tier 1,Startup,Public,64,1,Advanced,573474.0
28,Male,Bachelors,18.4,Finance,Executive,5,Tier 3,Mid,MNC,54,1,Intermediate,1736268.0
54,Female,Masters,3.5,Marketing,Executive,2,Tier 1,Startup,Private,72,2,Basic,646228.0
39,Male,Masters,4.9,Marketing,Analyst,3,Tier 2,Enterprise,MNC,29,0,Intermediate,756838.0
22,Male,Masters,9.1,Tech,Lead,1,Tier 1,Enterprise,Public,60,0,Advanced,948600.0
32,Female,High School,32.7,HR,Executive,2,Tier 1,Mid,MNC,36,4,Intermediate,2642264.0
49,Male,Bachelors,35.1,Tech,Executive,3,Tier 1,Mid,Private,90,2,Intermediate,2765858.0
46,Female,Masters,31.4,Marketing,Manager,2,Tier 1,Startup,Private,85,2,Advanced,2569276.0
44,Male,Bachelors,12.7,Finance,Manager,3,Tier 3,Mid,MNC,30,4,Basic,1252631.0
52,Female,Bachelors,10.4,Marketing,Engineer,4,Tier 3,Mid,Private,82,2,Basic,1082421.0
51,Female,Masters,20.9,Operations,Analyst,3,Tier 3,Startup,Private,86,2,Advanced,1835041.0
56,Male,High School,27.4,Finance,Manager,5,Tier 2,Startup,MNC,65,3,Basic,2435199.0
28,Female,Masters,37.7,Tech,Analyst,3,Tier 2,Enterprise,MNC,39,1,Intermediate,3062612.0
37,Male,Bachelors,5.0,Finance,Executive,2,Tier 3,Enterprise,MNC,32,4,Intermediate,768402.0
47,Female,Bachelors,1.9,Operations,Engineer,4,Tier 2,Mid,Public,36,3,Advanced,542523.0
23,Female,High School,26.4,Marketing,Analyst,4,Tier 2,Startup,Public,51,3,Basic,2223348.0
22,Female,Masters,31.6,HR,Manager,3,Tier 2,Mid,Private,35,3,Intermediate,2690195.0
33,Female,Bachelors,32.2,Support,Executive,2,Tier 2,Enterprise,Private,42,2,Basic,2535729.0
26,Male,Bachelors,25.8,HR,Lead,4,Tier 2,Mid,MNC,30,4,Intermediate,2304409.0
58,Female,Masters,36.3,HR,Executive,3,Tier 2,Enterprise,Private,33,2,Intermediate,2909046.0
53,Female,Masters,19.4,Marketing,Manager,3,Tier 2,Enterprise,MNC,86,2,Basic,1784423.0
30,Male,PhD,34.7,HR,Manager,3,Tier 3,Mid,Public,90,3,Intermediate,2942790.0
56,Male,Bachelors,36.8,Operations,Lead,4,Tier 1,Enterprise,MNC,64,0,Basic,3027096.0
40,Male,Bachelors,32.2,Marketing,Executive,1,Tier 2,Enterprise,Private,94,4,Advanced,2541448.0
37,Male,PhD,11.8,HR,Analyst,2,Tier 1,Startup,MNC,52,4,Advanced,1319054.0
24,Male,Masters,7.5,Support,Analyst,5,Tier 3,Mid,MNC,64,3,Intermediate,1046530.0
41,Male,Bachelors,20.8,Tech,Executive,5,Tier 1,Mid,MNC,73,3,Intermediate,2058535.0
45,Female,Bachelors,17.2,Marketing,Analyst,2,Tier 1,Mid,Private,70,1,Intermediate,1413500.0
54,Male,Masters,33.4,Marketing,Executive,1,Tier 3,Enterprise,MNC,42,3,Advanced,2667431.0
45,Female,Bachelors,3.8,Finance,Executive,2,Tier 2,Enterprise,MNC,48,2,Advanced,626392.0
32,Male,Masters,9.8,HR,Manager,3,Tier 1,Enterprise,Private,25,3,Advanced,1128674.0
29,Female,Bachelors,28.6,Tech,Engineer,2,Tier 1,Mid,Public,58,4,Intermediate,2395303.0
57,Female,Bachelors,3.6,Support,Manager,2,Tier 3,Startup,Public,24,0,Intermediate,512414.0
59,Female,Masters,12.2,Operations,Analyst,4,Tier 1,Mid,Private,59,0,Intermediate,1256267.0
41,Male,High School,14.7,Marketing,Engineer,5,Tier 1,Mid,Public,97,2,Intermediate,1452913.0
56,Male,Bachelors,23.7,Operations,Executive,5,Tier 2,Mid,MNC,40,0,Intermediate,2098423.0
46,Male,Bachelors,6.0,Operations,Analyst,3,Tier 2,Startup,Private,78,3,Intermediate,822519.0
56,Male,Bachelors,32.7,Operations,Lead,3,Tier 2,Mid,MNC,39,0,Advanced,2585093.0
46,Female,Masters,17.0,Finance,Analyst,4,Tier 2,Startup,MNC,43,3,Advanced,1697696.0
50,Male,Masters,34.8,Operations,Engineer,3,Tier 3,Startup,Private,22,1,Intermediate,2774870.0
39,Female,Masters,17.8,HR,Engineer,1,Tier 3,Mid,MNC,91,4,Advanced,1609978.0
39,Female,High School,10.5,HR,Executive,4,Tier 2,Mid,Private,76,2,Advanced,1080669.0
23,Male,Bachelors,5.4,Tech,Lead,4,Tier 1,Mid,MNC,90,1,Intermediate,838699.0
56,Male,Bachelors,0.1,Tech,Executive,2,Tier 1,Enterprise,Public,89,0,Advanced,294342.0
37,Male,PhD,20.2,Support,Lead,2,Tier 2,Startup,MNC,89,2,Intermediate,1945787.0
57,Female,Masters,4.1,Operations,Lead,1,Tier 2,Mid,MNC,95,3,Intermediate,682868.0
54,Male,Masters,14.9,Operations,Executive,4,Tier 1,Startup,Private,82,1,Advanced,1511369.0
25,Female,Bachelors,22.4,Finance,Analyst,4,Tier 2,Enterprise,Public,66,4,Advanced,2008491.0
54,Male,Bachelors,10.5,Operations,Manager,2,Tier 3,Enterprise,MNC,38,4,Advanced,1188872.0
35,Female,Bachelors,6.7,Operations,Lead,5,Tier 1,Mid,MNC,32,1,Intermediate,908445.0
42,Male,Bachelors,29.4,Operations,Engineer,5,Tier 2,Startup,Public,64,1,Intermediate,2516712.0
41,Male,High School,36.0,Marketing,Executive,2,Tier 2,Enterprise,Public,51,1,Intermediate,2742190.0
29,Female,PhD,3.8,Marketing,Analyst,3,Tier 1,Enterprise,Public,49,0,Intermediate,694167.0
28,Male,Bachelors,5.9,Finance,Lead,4,Tier 2,Startup,Public,61,4,Intermediate,922261.0
24,Male,Bachelors,36.5,Finance,Analyst,1,Tier 1,Enterprise,Public,91,4,Intermediate,2877503.0
38,Male,High School,1.4,HR,Executive,5,Tier 2,Startup,MNC,61,0,Intermediate,478890.0
54,Male,PhD,37.2,Finance,Engineer,3,Tier 2,Mid,Public,26,2,Advanced,3095791.0
33,Male,Bachelors,0.2,Support,Lead,4,Tier 2,Startup,Public,22,4,Intermediate,446858.0
43,Male,Masters,33.2,HR,Lead,3,Tier 1,Mid,MNC,56,2,Intermediate,2787563.0
43,Male,PhD,11.7,Operations,Analyst,4,Tier 1,Startup,Private,22,2,Intermediate,1362455.0
51,Female,Bachelors,35.7,Finance,Executive,4,Tier 2,Enterprise,MNC,37,2,Advanced,2903772.0
59,Female,Masters,12.0,Support,Manager,2,Tier 1,Mid,Private,61,4,Intermediate,1251055.0
59,Male,High School,24.9,Finance,Lead,2,Tier 1,Startup,Public,28,3,Intermediate,2061810.0
29,Male,Bachelors,3.0,Finance,Engineer,1,Tier 1,Mid,Private,76,2,Intermediate,520099.0
